Patrick MIGNOLA,et SANDRA KADRI,Ensemble !,Savoie - 4ème,26.21%
François CHARRON,et Ludivine THOMAS,NUPES,Deux-Sevres - 1ère,28.43%
Guillaume Gouffier-Cha,et Chantal Cazals,Ensemble !,Val-De-Marne - 6ème,36.40%
Francesca PASQUINI,et Léopold Michallet,NUPES,Hauts-De-Seine - 2ème,27.41%
Grégory LEBERT,et Margaux PHILIPPE,NUPES,Finistere - 1ère,32.08%
Laetitia Copin,et Yannis Akouche,NUPES,Loire - 1ère,22.60%
Chloé Herzhaft,et Adem Ersoy,NUPES,Correze - 2ème,21.16%
Jean-Marc SOUBESTE,et Aline GUIBORDEAU,NUPES,Charente-Maritime - 1ère,23.39%
Guillaume Hédouin,et Amélie David,NUPES,Manche - 1ère,19.44%
Celline Gacon,et Yannis Massard,NUPES,Haute-Loire - 1ère,18.96%
Valérie HAREL,et Thomas Dupont-Federici,NUPES,Calvados - 5ème,23.19%
Caroline Abadie,et Régis Viallatte,Ensemble !,Isere - 8ème,23.18%
Vanessa Duhamel,et Khadidjatou Sow,Ensemble !,Nord - 1ère,21.07%
Fiona LAZAAR,et PHILIPPE METEZEAU,Ensemble !,Val-D'oise - 5ème,21.02%
Huguette Tiegna,et Chantal Lacassagne,Ensemble !,Lot - 2ème,23.70%
Agnes Firmin le bodo,et Agnes carel,Ensemble !,Seine-Maritime - 7ème,39.13%
Christophe Arend,et Lisa Bagur,Ensemble !,Moselle - 6ème,22.13%
Cécile rilhac,et Benjamin Khiat,Ensemble !,Val-D'oise - 3ème,28.37%
Laurence Maillart,et Sebastien Journet,Ensemble !,Ille-Et-Vilaine - 2ème,41.41%
jean-marc ZULESI,et Philippe Veran,Ensemble !,Bouches-Du-Rhone - 8ème,27.78%
Anne-France BRUNET,et Sébastien Alix,Ensemble !,Loire-Atlantique - 3ème,29.30%
Sabrina Sebaihi,et Jérôme Pellerin,NUPES,Hauts-De-Seine - 4ème,36.00%
